,Model_Name,Train_Mean_Absolute_Error_MAE,Validation_Mean_Absolute_Error_MAE,Test_Mean_Absolute_Error_MAE,Train_Mean_Absolute_Percentage_Error_MAPE,Validation_Mean_Absolute_Percentage_Error_MAPE,Test_Mean_Absolute_Percentage_Error_MAPE,Train_Mean_Squared_Error_MSE,Validation_Mean_Squared_Error_MSE,Test_Mean_Squared_Error_MSE,Train_Root_Mean_Squared_Error_RMSE,Validation_Root_Mean_Squared_Error_RMSE,Test_Root_Mean_Squared_Error_RMSE,Train_R2_score,Validation_R2_score,Test_R2_score
0,LinearRegression,4510.410914248183,4552.004573939022,4488.630508840498,42.70146666241992,42.81436242384691,42.6066059325409,46312111.115302995,47473375.87641851,45713994.601073764,6805.300222275502,6890.092588377786,6761.212509681512,0.9100602644676042,0.9086597775084699,0.9107789908266164
1,DecisionTreeRegressor,45.869775859765284,1230.6340586500087,1216.7644939003735,0.21566944770522403,7.885959114370459,8.03125852739167,280609.3954156841,13087633.409795824,12696197.702215891,529.725773788367,3617.6834313958184,3563.1724210618677,0.9994550467641443,0.9748189943211488,0.9752205515719712
2,KNeighborsRegressor,6253.642815869065,7912.809686621552,7920.643747397177,57.872786134880236,73.19301921407224,74.31009061164644,87449056.29846212,134085466.92215472,133124382.2477933,9351.420015081245,11579.527923113046,11537.953988805524,0.8301708817276874,0.7420154738219499,0.7401782138406166
